epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.89492,2.37439,3.88559,1.75459,0.01246,0.06418,0.01052,0.00539,1.93939,3.73754,1.40863,0.00011669,0.00011669,0.00011669
2,9.96169,2.10277,3.56985,1.4269,0.02504,0.13989,0.01676,0.00889,1.88767,3.58719,1.31692,0.000247575,0.000247575,0.000247575
3,11.9342,1.95533,2.96361,1.30837,0.02991,0.15249,0.02081,0.00916,2.02092,3.43285,1.37454,0.000375818,0.000375818,0.000375818
4,13.9048,2.00108,2.64453,1.24826,0.06312,0.38561,0.09083,0.03913,2.00592,3.01222,1.30564,0.000501422,0.000501422,0.000501422
5,15.8255,1.94773,2.3339,1.2179,0.05749,0.35758,0.1015,0.04077,2.17575,3.04843,1.36892,0.000624385,0.000624385,0.000624385
6,17.7194,1.95198,2.23779,1.21028,0.24295,0.18757,0.12157,0.04663,2.10153,2.64511,1.32789,0.000744707,0.000744707,0.000744707
7,19.7973,1.93587,2.08935,1.21286,0.13697,0.20151,0.07742,0.02972,2.27635,2.92496,1.51714,0.000862389,0.000862389,0.000862389
8,21.6663,1.90853,2.01195,1.19749,0.15394,0.23112,0.09659,0.03582,2.23288,2.65178,1.48341,0.00097743,0.00097743,0.00097743
9,23.6428,1.86469,1.96555,1.1852,0.19194,0.24078,0.14127,0.05413,2.20779,2.27135,1.37813,0.00108983,0.00108983,0.00108983
10,25.6416,1.84041,1.93436,1.18283,0.21767,0.24061,0.16211,0.05979,2.19818,2.12857,1.38248,0.00119959,0.00119959,0.00119959
11,27.6717,1.86435,1.90332,1.16812,0.19627,0.24642,0.14679,0.04989,2.34302,2.21117,1.42885,0.00130671,0.00130671,0.00130671
12,29.5807,1.83549,1.89061,1.14971,0.2266,0.2898,0.18107,0.06897,2.14012,1.99556,1.32082,0.00141119,0.00141119,0.00141119
13,31.5488,1.88016,1.82822,1.17445,0.20554,0.29398,0.18433,0.07609,2.02308,1.95822,1.26661,0.00146896,0.00146896,0.00146896
14,33.5716,1.832,1.71105,1.16302,0.1901,0.34323,0.19341,0.07659,2.16901,1.91175,1.29755,0.00145246,0.00145246,0.00145246
15,35.5495,1.84341,1.71795,1.17403,0.18864,0.39842,0.19269,0.08518,1.93275,1.92792,1.20635,0.00143595,0.00143595,0.00143595
16,37.5741,1.84464,1.73743,1.17196,0.20993,0.32289,0.13661,0.05827,1.95026,2.38155,1.22753,0.00141945,0.00141945,0.00141945
17,39.778,1.83959,1.71107,1.18698,0.24819,0.3156,0.17715,0.07467,1.99036,2.16197,1.22116,0.00140295,0.00140295,0.00140295
18,41.7122,1.76839,1.69421,1.17128,0.2185,0.35161,0.18625,0.07429,1.99806,1.98334,1.20959,0.00138644,0.00138644,0.00138644
19,43.6801,1.82493,1.70779,1.18595,0.19994,0.38357,0.1568,0.06667,1.99942,2.10252,1.23253,0.00136994,0.00136994,0.00136994
