epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.5564,2.37878,4.07421,1.75948,0.00719,0.02109,0.01066,0.00579,1.94819,3.95717,1.41185,0.00010003,0.00010003,0.00010003
2,12.9759,2.11859,3.81338,1.45143,0.01663,0.04445,0.01398,0.00749,1.8682,3.86555,1.32134,0.000210106,0.000210106,0.000210106
3,15.4117,1.95331,3.2911,1.33732,0.01411,0.03187,0.01654,0.00901,2.01555,3.74662,1.38824,0.000315655,0.000315655,0.000315655
4,18.4379,2.0099,2.96713,1.27294,0.04675,0.21332,0.03994,0.0199,1.92001,3.38426,1.2513,0.000416676,0.000416676,0.000416676
5,20.8677,1.92497,2.53894,1.2199,0.16253,0.15859,0.07454,0.03013,2.19597,3.07967,1.31853,0.000513171,0.000513171,0.000513171
6,22.8685,1.95625,2.38189,1.21511,0.2594,0.18497,0.12879,0.04802,2.10342,2.85151,1.29285,0.000605139,0.000605139,0.000605139
7,24.8667,1.9676,2.1999,1.21327,0.17227,0.23363,0.10861,0.03903,2.18222,2.71929,1.32636,0.000692579,0.000692579,0.000692579
8,26.7862,1.91741,2.11632,1.18806,0.20738,0.23337,0.13826,0.05526,2.21802,2.54003,1.33452,0.000775493,0.000775493,0.000775493
9,28.7775,1.89249,2.07558,1.18229,0.13563,0.27833,0.12598,0.04436,2.34314,2.38664,1.40007,0.000853879,0.000853879,0.000853879
10,30.7193,1.85448,2.01927,1.1689,0.15597,0.27592,0.13837,0.05465,2.17632,2.29428,1.34382,0.000927738,0.000927738,0.000927738
11,32.6901,1.88773,2.02913,1.17172,0.20085,0.34007,0.18854,0.07341,2.11534,2.1452,1.31157,0.00099707,0.00099707,0.00099707
12,34.6811,1.8758,1.99531,1.16024,0.22586,0.35373,0.18423,0.07301,2.10028,2.26706,1.28886,0.00106188,0.00106188,0.00106188
13,36.6799,1.89804,1.89453,1.17326,0.21748,0.34358,0.19595,0.07993,2.02908,2.26256,1.255,0.00108947,0.00108947,0.00108947
14,38.6776,1.8747,1.812,1.16056,0.25646,0.3639,0.20247,0.09003,2.02561,2.06424,1.25192,0.00106118,0.00106118,0.00106118
15,40.6274,1.83955,1.76323,1.16611,0.2354,0.37199,0.21897,0.09508,1.98801,1.9379,1.22133,0.00103288,0.00103288,0.00103288
16,42.6461,1.87187,1.78922,1.16307,0.23753,0.32892,0.19136,0.08417,1.97291,2.14266,1.21751,0.00100459,0.00100459,0.00100459
17,44.6431,1.87372,1.7641,1.17291,0.20565,0.28774,0.16847,0.07566,1.98908,2.187,1.22649,0.000976293,0.000976293,0.000976293
