epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.0036,2.37878,4.07421,1.75948,0.00719,0.02109,0.01066,0.00579,1.94819,3.95717,1.41185,0.00010003,0.00010003,0.00010003
2,12.1929,2.1184,3.81188,1.45068,0.01622,0.04355,0.01441,0.00745,1.86604,3.86408,1.31829,0.000211697,0.000211697,0.000211697
3,15.0088,1.9552,3.28611,1.3365,0.01966,0.04984,0.01655,0.00811,2.01892,3.74818,1.39,0.000320535,0.000320535,0.000320535
4,17.7112,2.0117,2.95455,1.27197,0.04444,0.22941,0.02785,0.01183,1.92493,3.39994,1.25582,0.000426544,0.000426544,0.000426544
5,20.4712,1.92732,2.5316,1.22108,0.16031,0.20961,0.08764,0.03479,2.15128,3.08228,1.30689,0.000529723,0.000529723,0.000529723
6,23.1003,1.95728,2.38099,1.21696,0.27317,0.21021,0.13964,0.05612,2.05839,2.75572,1.27424,0.000630073,0.000630073,0.000630073
7,25.3554,1.96572,2.19812,1.21658,0.14606,0.24204,0.09646,0.03517,2.15938,3.03402,1.32832,0.000727593,0.000727593,0.000727593
8,27.2887,1.91831,2.11622,1.19195,0.18519,0.29408,0.14868,0.06093,2.13879,2.44399,1.29754,0.000822284,0.000822284,0.000822284
9,29.3262,1.893,2.07336,1.18436,0.15535,0.25185,0.1386,0.0489,2.32669,2.38188,1.38685,0.000914146,0.000914146,0.000914146
10,31.7557,1.85864,2.02116,1.17583,0.17348,0.32172,0.15214,0.06201,2.08965,2.22776,1.28534,0.00100318,0.00100318,0.00100318
11,33.9177,1.89241,2.02423,1.17546,0.20235,0.36399,0.19477,0.0784,2.04284,2.05995,1.26036,0.00108938,0.00108938,0.00108938
12,35.8821,1.87047,1.99185,1.16342,0.21181,0.38464,0.18701,0.07535,2.09567,2.18677,1.27517,0.00117275,0.00117275,0.00117275
13,37.8363,1.89785,1.90469,1.17573,0.20456,0.37051,0.20863,0.08635,2.00516,2.14726,1.22071,0.00121679,0.00121679,0.00121679
14,39.7993,1.86569,1.81286,1.16122,0.23405,0.37372,0.18506,0.08272,2.01218,2.20138,1.24133,0.00119911,0.00119911,0.00119911
15,41.7699,1.85176,1.78101,1.17518,0.20134,0.30783,0.174,0.0726,2.00104,2.20622,1.24009,0.00118143,0.00118143,0.00118143
16,43.9863,1.87575,1.79014,1.17358,0.20974,0.29164,0.14616,0.06117,2.02238,2.44736,1.24142,0.00116374,0.00116374,0.00116374
17,45.9821,1.86265,1.76422,1.17353,0.20406,0.29961,0.15741,0.06571,2.07567,2.23453,1.24386,0.00114606,0.00114606,0.00114606
18,47.9602,1.84349,1.74804,1.18163,0.2075,0.36788,0.2048,0.08598,2.01234,1.86691,1.20915,0.00112837,0.00112837,0.00112837
19,49.9623,1.80311,1.76568,1.16767,0.21089,0.37222,0.1941,0.08732,1.93573,1.90228,1.1995,0.00111069,0.00111069,0.00111069
20,52.1735,1.83311,1.71655,1.17274,0.21423,0.35747,0.1763,0.07533,2.01594,2.02732,1.23659,0.00109301,0.00109301,0.00109301
21,54.1964,1.75096,1.71207,1.15052,0.24845,0.28932,0.19643,0.088,1.98139,1.9889,1.20564,0.00107532,0.00107532,0.00107532
22,56.2463,1.74983,1.62787,1.13863,0.26841,0.33342,0.23524,0.10354,1.9101,1.86444,1.1798,0.00105764,0.00105764,0.00105764
23,58.3091,1.78106,1.63557,1.16517,0.27647,0.3464,0.20658,0.09058,1.94206,1.84949,1.20279,0.00103995,0.00103995,0.00103995
24,60.289,1.77672,1.58262,1.15621,0.20015,0.39585,0.20141,0.09214,1.89487,1.8096,1.18235,0.00102227,0.00102227,0.00102227
25,62.506,1.7764,1.61377,1.14881,0.22406,0.40614,0.23146,0.10556,1.87232,1.74882,1.16659,0.00100459,0.00100459,0.00100459
26,64.6641,1.75635,1.58375,1.12851,0.25154,0.37593,0.23059,0.10344,1.90261,1.70832,1.1895,0.000986903,0.000986903,0.000986903
27,66.7826,1.79101,1.64048,1.15221,0.26922,0.37045,0.22902,0.10452,1.87061,1.71073,1.18714,0.000969219,0.000969219,0.000969219
28,69.23,1.72458,1.54993,1.14801,0.24894,0.39523,0.22214,0.1,1.87102,1.71513,1.18571,0.000951535,0.000951535,0.000951535
29,71.4252,1.72627,1.58429,1.14812,0.2566,0.36631,0.21069,0.0965,1.87132,1.76455,1.17882,0.000933851,0.000933851,0.000933851
30,73.4801,1.71971,1.53759,1.16315,0.26637,0.38846,0.2345,0.10689,1.87689,1.69942,1.17222,0.000916168,0.000916168,0.000916168
31,75.4526,1.75242,1.53515,1.15232,0.28243,0.3749,0.22519,0.10125,1.87687,1.78387,1.19137,0.000898484,0.000898484,0.000898484
32,77.4094,1.71792,1.56444,1.14036,0.25751,0.35227,0.22179,0.09868,1.94483,1.73545,1.20423,0.0008808,0.0008808,0.0008808
33,79.4299,1.73184,1.52678,1.12783,0.21085,0.4121,0.21859,0.09664,1.93641,1.71856,1.19621,0.000863116,0.000863116,0.000863116
34,81.4114,1.69691,1.55146,1.133,0.18535,0.40002,0.21842,0.09833,1.90298,1.71628,1.19557,0.000845432,0.000845432,0.000845432
35,83.5745,1.6751,1.47177,1.11956,0.21341,0.28344,0.21035,0.09495,1.88005,1.76917,1.19442,0.000827748,0.000827748,0.000827748
