epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.93006,2.37878,4.07421,1.75948,0.00719,0.02109,0.01066,0.00579,1.94819,3.95717,1.41185,0.00010003,0.00010003,0.00010003
2,10.0908,2.11807,3.81143,1.45054,0.01667,0.04445,0.01286,0.00679,1.87082,3.86459,1.32112,0.000212228,0.000212228,0.000212228
3,12.1864,1.95378,3.28356,1.33639,0.01512,0.03323,0.01697,0.00866,2.01589,3.74182,1.38703,0.000322162,0.000322162,0.000322162
4,14.2846,2.00913,2.96214,1.27571,0.04,0.16189,0.02817,0.01294,1.92104,3.4019,1.26408,0.000429833,0.000429833,0.000429833
5,16.4822,1.92761,2.54572,1.22651,0.05909,0.3554,0.09391,0.04125,2.16056,3.12124,1.32918,0.000535241,0.000535241,0.000535241
6,18.7913,1.96312,2.38212,1.22086,0.2759,0.1955,0.13849,0.05576,2.083,2.81202,1.29007,0.000638384,0.000638384,0.000638384
7,21.0315,1.96837,2.19997,1.21573,0.1654,0.22912,0.10813,0.03828,2.14911,2.87023,1.33638,0.000739265,0.000739265,0.000739265
8,23.0509,1.92072,2.11002,1.19166,0.23918,0.22213,0.14593,0.05888,2.16076,2.5498,1.33096,0.000837881,0.000837881,0.000837881
9,25.0882,1.88799,2.0627,1.18352,0.16859,0.21107,0.13411,0.04593,2.35058,2.3663,1.40836,0.000934234,0.000934234,0.000934234
10,27.1042,1.85171,2.00861,1.17367,0.15168,0.3289,0.11986,0.0484,2.10729,2.38585,1.30981,0.00102832,0.00102832,0.00102832
11,29.1245,1.89128,2.00053,1.17456,0.20391,0.35164,0.19288,0.08033,2.0474,2.23563,1.29481,0.00112015,0.00112015,0.00112015
12,31.1464,1.86036,1.9727,1.15686,0.21921,0.32783,0.18584,0.078,2.05899,2.31181,1.26927,0.00120971,0.00120971,0.00120971
13,33.1943,1.89395,1.88837,1.17458,0.22149,0.32344,0.19022,0.07868,2.01315,2.27447,1.23695,0.00125923,0.00125923,0.00125923
14,35.2393,1.86459,1.80161,1.1607,0.23304,0.34048,0.18558,0.08107,2.0955,2.13319,1.26936,0.00124509,0.00124509,0.00124509
15,37.2988,1.8617,1.77409,1.17969,0.20006,0.32814,0.18727,0.07493,2.01304,2.12416,1.26008,0.00123094,0.00123094,0.00123094
16,39.3115,1.87132,1.78207,1.17278,0.18537,0.30479,0.14021,0.05722,2.04031,2.5627,1.25303,0.00121679,0.00121679,0.00121679
17,41.4789,1.8666,1.7457,1.17657,0.20203,0.31858,0.16614,0.06691,2.07122,2.16007,1.2471,0.00120265,0.00120265,0.00120265
18,43.4773,1.82892,1.74321,1.17941,0.20353,0.34379,0.20184,0.08306,2.01025,1.85014,1.20955,0.0011885,0.0011885,0.0011885
19,45.5096,1.80077,1.7549,1.17012,0.21952,0.35157,0.19486,0.08737,1.93572,1.96549,1.19859,0.00117435,0.00117435,0.00117435
20,48.5066,1.82569,1.71257,1.17263,0.21415,0.29118,0.17224,0.07639,1.98732,2.10423,1.22111,0.00116021,0.00116021,0.00116021
21,50.5969,1.75243,1.71889,1.14927,0.2365,0.28481,0.18364,0.08101,1.93574,2.02986,1.18896,0.00114606,0.00114606,0.00114606
22,52.6136,1.74801,1.61913,1.13925,0.24822,0.34486,0.22344,0.0984,1.90649,1.81131,1.1783,0.00113191,0.00113191,0.00113191
23,54.7011,1.77244,1.62434,1.1586,0.25359,0.36304,0.20581,0.09139,1.89523,1.78503,1.17998,0.00111776,0.00111776,0.00111776
24,56.8057,1.7701,1.58875,1.14806,0.2118,0.42363,0.21319,0.09427,1.93895,1.73056,1.19585,0.00110362,0.00110362,0.00110362
25,58.8927,1.78491,1.59474,1.14899,0.26016,0.37379,0.23259,0.10476,1.8913,1.75314,1.1761,0.00108947,0.00108947,0.00108947
26,60.982,1.75934,1.57852,1.13373,0.24384,0.36471,0.21941,0.10078,1.90345,1.73857,1.18592,0.00107532,0.00107532,0.00107532
27,63.2923,1.78327,1.64003,1.15132,0.27061,0.36011,0.21696,0.09858,1.89807,1.77887,1.19175,0.00106118,0.00106118,0.00106118
28,65.3621,1.72693,1.55694,1.14932,0.27629,0.35745,0.22633,0.10248,1.8888,1.73947,1.19223,0.00104703,0.00104703,0.00104703
29,67.4864,1.73571,1.58853,1.15285,0.24188,0.39194,0.21047,0.09659,1.8914,1.79302,1.18771,0.00103288,0.00103288,0.00103288
30,69.7443,1.72641,1.54216,1.16572,0.28932,0.36679,0.2434,0.11142,1.87933,1.70386,1.17195,0.00101873,0.00101873,0.00101873
31,71.8309,1.7535,1.5439,1.15234,0.28332,0.37487,0.22873,0.10358,1.87853,1.75288,1.18588,0.00100459,0.00100459,0.00100459
32,73.8616,1.71207,1.57111,1.14004,0.24054,0.34226,0.19316,0.08536,1.99768,1.83233,1.22522,0.00099044,0.00099044,0.00099044
33,75.9313,1.74374,1.53821,1.13445,0.19845,0.3968,0.20448,0.09226,1.90738,1.75995,1.18426,0.000976293,0.000976293,0.000976293
34,78.1872,1.69177,1.55895,1.13162,0.18319,0.38172,0.21118,0.09508,1.91343,1.7268,1.19916,0.000962146,0.000962146,0.000962146
35,80.1762,1.6865,1.48249,1.12179,0.21821,0.29644,0.2243,0.10102,1.87786,1.7286,1.19527,0.000947999,0.000947999,0.000947999
36,82.1899,1.70642,1.5206,1.13886,0.25034,0.34753,0.23436,0.10526,1.87549,1.65979,1.18963,0.000933851,0.000933851,0.000933851
37,84.4353,1.73595,1.52787,1.1142,0.28709,0.32765,0.24097,0.10604,1.90621,1.63577,1.19297,0.000919704,0.000919704,0.000919704
38,86.4348,1.68045,1.49657,1.11269,0.2468,0.36128,0.23864,0.10421,1.88892,1.65488,1.19214,0.000905557,0.000905557,0.000905557
39,88.524,1.66284,1.44483,1.12954,0.21648,0.35231,0.20478,0.09379,1.87033,1.75303,1.19898,0.00089141,0.00089141,0.00089141
40,90.5418,1.65647,1.44599,1.14553,0.26917,0.37197,0.2382,0.10756,1.88719,1.63867,1.1937,0.000877263,0.000877263,0.000877263
41,92.6111,1.70318,1.51457,1.12152,0.26044,0.39995,0.24258,0.10993,1.88345,1.6618,1.1819,0.000863116,0.000863116,0.000863116
42,94.657,1.69931,1.50981,1.11525,0.27223,0.36329,0.23925,0.10847,1.87488,1.6529,1.17592,0.000848969,0.000848969,0.000848969
